date,facility_id,facility_name,facility_type,packaging_type,total_produced,total_returned,total_reused,total_recycled,total_waste,co2_saved,cost_savings,latitude,longitude
2024-09-07,DC002,Ghent Distribution,Distribution Center,Wooden Crates,1091,891,730,161,200,89.1,222.75,51.05,3.7303
2024-09-08,BR001,Brussels Brewery,Brewery,Glass Bottles,270,249,178,71,21,124.5,37.35,50.8503,4.3517
2024-09-08,BR001,Brussels Brewery,Brewery,Aluminum Cans,805,594,160,434,211,475.2,71.28,50.8503,4.3517
2024-09-08,BR001,Brussels Brewery,Brewery,Plastic Bottles,442,199,45,154,243,59.7,15.92,50.8503,4.3517
2024-09-08,BR001,Brussels Brewery,Brewery,Cardboard Cartons,960,339,137,202,621,67.8,16.95,50.8503,4.3517
2024-09-08,BR001,Brussels Brewery,Brewery,Wooden Crates,893,875,545,330,18,87.5,218.75,50.8503,4.3517
2024-09-08,BR002,Leuven Brewery,Brewery,Glass Bottles,945,833,551,282,112,416.5,124.95,50.8798,4.7005
2024-09-08,BR002,Leuven Brewery,Brewery,Aluminum Cans,789,538,194,344,251,430.4,64.56,50.8798,4.7005
2024-09-08,BR002,Leuven Brewery,Brewery,Plastic Bottles,663,466,183,283,197,139.8,37.28,50.8798,4.7005
2024-09-08,BR002,Leuven Brewery,Brewery,Cardboard Cartons,464,146,39,107,318,29.2,7.3,50.8798,4.7005
2024-09-08,BR002,Leuven Brewery,Brewery,Wooden Crates,692,678,608,70,14,67.8,169.5,50.8798,4.7005
2024-09-08,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,1077,863,588,275,214,431.5,129.45,51.2194,4.4025
2024-09-08,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,766,489,88,401,277,391.2,58.68,51.2194,4.4025
2024-09-08,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,1297,883,384,499,414,264.9,70.64,51.2194,4.4025
2024-09-08,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,1357,533,213,320,824,106.6,26.65,51.2194,4.4025
2024-09-08,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,494,484,355,129,10,48.4,121.0,51.2194,4.4025
2024-09-08,DC002,Ghent Distribution,Distribution Center,Glass Bottles,1247,1105,943,162,142,552.5,165.75,51.05,3.7303
2024-09-08,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,1294,965,440,525,329,772.0,115.8,51.05,3.7303
2024-09-08,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,647,218,83,135,429,65.4,17.44,51.05,3.7303
2024-09-08,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,1186,484,130,354,702,96.8,24.2,51.05,3.7303
2024-09-08,DC002,Ghent Distribution,Distribution Center,Wooden Crates,910,872,524,348,38,87.2,218.0,51.05,3.7303
2024-09-09,BR001,Brussels Brewery,Brewery,Glass Bottles,971,804,591,213,167,402.0,120.6,50.8503,4.3517
2024-09-09,BR001,Brussels Brewery,Brewery,Aluminum Cans,868,779,193,586,89,623.2,93.48,50.8503,4.3517
2024-09-09,BR001,Brussels Brewery,Brewery,Plastic Bottles,664,344,85,259,320,103.2,27.52,50.8503,4.3517
2024-09-09,BR001,Brussels Brewery,Brewery,Cardboard Cartons,763,375,124,251,388,75.0,18.75,50.8503,4.3517
2024-09-09,BR001,Brussels Brewery,Brewery,Wooden Crates,966,866,737,129,100,86.6,216.5,50.8503,4.3517
2024-09-09,BR002,Leuven Brewery,Brewery,Glass Bottles,576,495,394,101,81,247.5,74.25,50.8798,4.7005
2024-09-09,BR002,Leuven Brewery,Brewery,Aluminum Cans,559,380,101,279,179,304.0,45.6,50.8798,4.7005
2024-09-09,BR002,Leuven Brewery,Brewery,Plastic Bottles,1038,582,89,493,456,174.6,46.56,50.8798,4.7005
2024-09-09,BR002,Leuven Brewery,Brewery,Cardboard Cartons,567,243,79,164,324,48.6,12.15,50.8798,4.7005
2024-09-09,BR002,Leuven Brewery,Brewery,Wooden Crates,1003,953,740,213,50,95.3,238.25,50.8798,4.7005
2024-09-09,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,2222,1574,1035,539,648,787.0,236.1,51.2194,4.4025
2024-09-09,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,1384,990,217,773,394,792.0,118.8,51.2194,4.4025
2024-09-09,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,1817,1060,360,700,757,318.0,84.8,51.2194,4.4025
2024-09-09,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,1252,736,233,503,516,147.2,36.8,51.2194,4.4025
2024-09-09,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,2155,2102,1665,437,53,210.2,525.5,51.2194,4.4025
2024-09-09,DC002,Ghent Distribution,Distribution Center,Glass Bottles,884,581,405,176,303,290.5,87.15,51.05,3.7303
2024-09-09,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,2026,1531,836,695,495,1224.8,183.72,51.05,3.7303
2024-09-09,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,1576,915,302,613,661,274.5,73.2,51.05,3.7303
2024-09-09,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,1704,675,123,552,1029,135.0,33.75,51.05,3.7303
2024-09-09,DC002,Ghent Distribution,Distribution Center,Wooden Crates,1019,998,873,125,21,99.8,249.5,51.05,3.7303
2024-09-10,BR001,Brussels Brewery,Brewery,Glass Bottles,1034,960,584,376,74,480.0,144.0,50.8503,4.3517
2024-09-10,BR001,Brussels Brewery,Brewery,Aluminum Cans,536,477,76,401,59,381.6,57.24,50.8503,4.3517
2024-09-10,BR001,Brussels Brewery,Brewery,Plastic Bottles,1322,870,451,419,452,261.0,69.6,50.8503,4.3517
2024-09-10,BR001,Brussels Brewery,Brewery,Cardboard Cartons,892,268,65,203,624,53.6,13.4,50.8503,4.3517
2024-09-10,BR001,Brussels Brewery,Brewery,Wooden Crates,1450,1391,1042,349,59,139.1,347.75,50.8503,4.3517
2024-09-10,BR002,Leuven Brewery,Brewery,Glass Bottles,1433,995,703,292,438,497.5,149.25,50.8798,4.7005
2024-09-10,BR002,Leuven Brewery,Brewery,Aluminum Cans,1006,647,224,423,359,517.6,77.64,50.8798,4.7005
2024-09-10,BR002,Leuven Brewery,Brewery,Plastic Bottles,1364,692,314,378,672,207.6,55.36,50.8798,4.7005
2024-09-10,BR002,Leuven Brewery,Brewery,Cardboard Cartons,724,232,62,170,492,46.4,11.6,50.8798,4.7005
2024-09-10,BR002,Leuven Brewery,Brewery,Wooden Crates,1575,1543,1044,499,32,154.3,385.75,50.8798,4.7005
2024-09-10,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,926,808,671,137,118,404.0,121.2,51.2194,4.4025
2024-09-10,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,886,522,166,356,364,417.6,62.64,51.2194,4.4025
2024-09-10,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,1910,1195,451,744,715,358.5,95.6,51.2194,4.4025
2024-09-10,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,1189,328,55,273,861,65.6,16.4,51.2194,4.4025
2024-09-10,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,2095,2053,1703,350,42,205.3,513.25,51.2194,4.4025
2024-09-10,DC002,Ghent Distribution,Distribution Center,Glass Bottles,1291,1129,829,300,162,564.5,169.35,51.05,3.7303
2024-09-10,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,943,643,207,436,300,514.4,77.16,51.05,3.7303
2024-09-10,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,2232,1404,320,1084,828,421.2,112.32,51.05,3.7303
2024-09-10,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,1197,702,243,459,495,140.4,35.1,51.05,3.7303
2024-09-10,DC002,Ghent Distribution,Distribution Center,Wooden Crates,2250,1869,1617,252,381,186.9,467.25,51.05,3.7303
2024-09-11,BR001,Brussels Brewery,Brewery,Glass Bottles,572,430,334,96,142,215.0,64.5,50.8503,4.3517
2024-09-11,BR001,Brussels Brewery,Brewery,Aluminum Cans,1035,896,195,701,139,716.8,107.52,50.8503,4.3517
2024-09-11,BR001,Brussels Brewery,Brewery,Plastic Bottles,866,603,205,398,263,180.9,48.24,50.8503,4.3517
2024-09-11,BR001,Brussels Brewery,Brewery,Cardboard Cartons,1157,557,272,285,600,111.4,27.85,50.8503,4.3517
2024-09-11,BR001,Brussels Brewery,Brewery,Wooden Crates,1459,1350,978,372,109,135.0,337.5,50.8503,4.3517
2024-09-11,BR002,Leuven Brewery,Brewery,Glass Bottles,1010,768,474,294,242,384.0,115.2,50.8798,4.7005
2024-09-11,BR002,Leuven Brewery,Brewery,Aluminum Cans,675,501,167,334,174,400.8,60.12,50.8798,4.7005
2024-09-11,BR002,Leuven Brewery,Brewery,Plastic Bottles,1019,639,244,395,380,191.7,51.12,50.8798,4.7005
2024-09-11,BR002,Leuven Brewery,Brewery,Cardboard Cartons,994,398,177,221,596,79.6,19.9,50.8798,4.7005
2024-09-11,BR002,Leuven Brewery,Brewery,Wooden Crates,752,694,624,70,58,69.4,173.5,50.8798,4.7005
2024-09-11,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,1922,1753,1076,677,169,876.5,262.95,51.2194,4.4025
2024-09-11,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,1252,804,279,525,448,643.2,96.48,51.2194,4.4025
2024-09-11,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,1974,1140,423,717,834,342.0,91.2,51.2194,4.4025
2024-09-11,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,2364,1057,309,748,1307,211.4,52.85,51.2194,4.4025
2024-09-11,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,1943,1681,1090,591,262,168.1,420.25,51.2194,4.4025
2024-09-11,DC002,Ghent Distribution,Distribution Center,Glass Bottles,1885,1518,1192,326,367,759.0,227.7,51.05,3.7303
2024-09-11,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,928,715,125,590,213,572.0,85.8,51.05,3.7303
2024-09-11,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,1820,1123,380,743,697,336.9,89.84,51.05,3.7303
2024-09-11,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,1863,580,182,398,1283,116.0,29.0,51.05,3.7303
2024-09-11,DC002,Ghent Distribution,Distribution Center,Wooden Crates,1093,1044,715,329,49,104.4,261.0,51.05,3.7303
2024-09-12,BR001,Brussels Brewery,Brewery,Glass Bottles,1289,1141,862,279,148,570.5,171.15,50.8503,4.3517
2024-09-12,BR001,Brussels Brewery,Brewery,Aluminum Cans,1612,1383,560,823,229,1106.4,165.96,50.8503,4.3517
2024-09-12,BR001,Brussels Brewery,Brewery,Plastic Bottles,810,374,77,297,436,112.2,29.92,50.8503,4.3517
2024-09-12,BR001,Brussels Brewery,Brewery,Cardboard Cartons,674,304,106,198,370,60.8,15.2,50.8503,4.3517
2024-09-12,BR001,Brussels Brewery,Brewery,Wooden Crates,1170,1146,1031,115,24,114.6,286.5,50.8503,4.3517
2024-09-12,BR002,Leuven Brewery,Brewery,Glass Bottles,1033,937,762,175,96,468.5,140.55,50.8798,4.7005
2024-09-12,BR002,Leuven Brewery,Brewery,Aluminum Cans,851,719,262,457,132,575.2,86.28,50.8798,4.7005
2024-09-12,BR002,Leuven Brewery,Brewery,Plastic Bottles,1464,832,312,520,632,249.6,66.56,50.8798,4.7005
2024-09-12,BR002,Leuven Brewery,Brewery,Cardboard Cartons,1544,498,137,361,1046,99.6,24.9,50.8798,4.7005
2024-09-12,BR002,Leuven Brewery,Brewery,Wooden Crates,1327,1196,966,230,131,119.6,299.0,50.8798,4.7005
2024-09-12,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,1172,1148,589,559,24,574.0,172.2,51.2194,4.4025
2024-09-12,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,1943,1590,220,1370,353,1272.0,190.8,51.2194,4.4025
2024-09-12,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,1346,744,304,440,602,223.2,59.52,51.2194,4.4025
2024-09-12,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,2206,896,172,724,1310,179.2,44.8,51.2194,4.4025
2024-09-12,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,2082,1828,1586,242,254,182.8,457.0,51.2194,4.4025
2024-09-12,DC002,Ghent Distribution,Distribution Center,Glass Bottles,2095,1627,1174,453,468,813.5,244.05,51.05,3.7303
2024-09-12,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,901,679,159,520,222,543.2,81.48,51.05,3.7303
2024-09-12,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,1188,967,351,616,221,290.1,77.36,51.05,3.7303
2024-09-12,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,2171,434,138,296,1737,86.8,21.7,51.05,3.7303
2024-09-12,DC002,Ghent Distribution,Distribution Center,Wooden Crates,861,760,672,88,101,76.0,190.0,51.05,3.7303
2024-09-13,BR001,Brussels Brewery,Brewery,Glass Bottles,926,713,490,223,213,356.5,106.95,50.8503,4.3517
2024-09-13,BR001,Brussels Brewery,Brewery,Aluminum Cans,1067,854,330,524,213,683.2,102.48,50.8503,4.3517
2024-09-13,BR001,Brussels Brewery,Brewery,Plastic Bottles,847,406,108,298,441,121.8,32.48,50.8503,4.3517
2024-09-13,BR001,Brussels Brewery,Brewery,Cardboard Cartons,513,180,42,138,333,36.0,9.0,50.8503,4.3517
2024-09-13,BR001,Brussels Brewery,Brewery,Wooden Crates,753,737,619,118,16,73.7,184.25,50.8503,4.3517
2024-09-13,BR002,Leuven Brewery,Brewery,Glass Bottles,1342,971,768,203,371,485.5,145.65,50.8798,4.7005
2024-09-13,BR002,Leuven Brewery,Brewery,Aluminum Cans,1592,1531,617,914,61,1224.8,183.72,50.8798,4.7005
2024-09-13,BR002,Leuven Brewery,Brewery,Plastic Bottles,924,414,104,310,510,124.2,33.12,50.8798,4.7005
2024-09-13,BR002,Leuven Brewery,Brewery,Cardboard Cartons,755,397,91,306,358,79.4,19.85,50.8798,4.7005
2024-09-13,BR002,Leuven Brewery,Brewery,Wooden Crates,1488,1458,1279,179,30,145.8,364.5,50.8798,4.7005
2024-09-13,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,1634,1237,858,379,397,618.5,185.55,51.2194,4.4025
2024-09-13,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,1462,622,122,500,840,497.6,74.64,51.2194,4.4025
2024-09-13,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,2272,1305,228,1077,967,391.5,104.4,51.2194,4.4025
2024-09-13,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,2321,1307,205,1102,1014,261.4,65.35,51.2194,4.4025
2024-09-13,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,1871,1695,1378,317,176,169.5,423.75,51.2194,4.4025
2024-09-13,DC002,Ghent Distribution,Distribution Center,Glass Bottles,1567,1535,854,681,32,767.5,230.25,51.05,3.7303
2024-09-13,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,1044,904,272,632,140,723.2,108.48,51.05,3.7303
2024-09-13,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,1246,625,216,409,621,187.5,50.0,51.05,3.7303
2024-09-13,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,1038,435,104,331,603,87.0,21.75,51.05,3.7303
2024-09-13,DC002,Ghent Distribution,Distribution Center,Wooden Crates,1216,1163,885,278,53,116.3,290.75,51.05,3.7303
2024-09-14,BR001,Brussels Brewery,Brewery,Glass Bottles,798,687,526,161,111,343.5,103.05,50.8503,4.3517
2024-09-14,BR001,Brussels Brewery,Brewery,Aluminum Cans,776,705,124,581,71,564.0,84.6,50.8503,4.3517
2024-09-14,BR001,Brussels Brewery,Brewery,Plastic Bottles,502,408,42,366,94,122.4,32.64,50.8503,4.3517
2024-09-14,BR001,Brussels Brewery,Brewery,Cardboard Cartons,821,315,113,202,506,63.0,15.75,50.8503,4.3517
2024-09-14,BR001,Brussels Brewery,Brewery,Wooden Crates,666,651,480,171,15,65.1,162.75,50.8503,4.3517
2024-09-14,BR002,Leuven Brewery,Brewery,Glass Bottles,821,680,442,238,141,340.0,102.0,50.8798,4.7005
2024-09-14,BR002,Leuven Brewery,Brewery,Aluminum Cans,637,440,169,271,197,352.0,52.8,50.8798,4.7005
2024-09-14,BR002,Leuven Brewery,Brewery,Plastic Bottles,601,382,88,294,219,114.6,30.56,50.8798,4.7005
2024-09-14,BR002,Leuven Brewery,Brewery,Cardboard Cartons,459,224,74,150,235,44.8,11.2,50.8798,4.7005
2024-09-14,BR002,Leuven Brewery,Brewery,Wooden Crates,379,371,320,51,8,37.1,92.75,50.8798,4.7005
2024-09-14,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,989,758,488,270,231,379.0,113.7,51.2194,4.4025
2024-09-14,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,973,802,289,513,171,641.6,96.24,51.2194,4.4025
2024-09-14,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,574,343,106,237,231,102.9,27.44,51.2194,4.4025
2024-09-14,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,1233,650,156,494,583,130.0,32.5,51.2194,4.4025
2024-09-14,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,530,519,404,115,11,51.9,129.75,51.2194,4.4025
2024-09-14,DC002,Ghent Distribution,Distribution Center,Glass Bottles,1338,1108,897,211,230,554.0,166.2,51.05,3.7303
2024-09-14,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,592,492,187,305,100,393.6,59.04,51.05,3.7303
2024-09-14,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,635,463,139,324,172,138.9,37.04,51.05,3.7303
2024-09-14,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,1106,517,139,378,589,103.4,25.85,51.05,3.7303
2024-09-14,DC002,Ghent Distribution,Distribution Center,Wooden Crates,642,629,495,134,13,62.9,157.25,51.05,3.7303
2024-09-15,BR001,Brussels Brewery,Brewery,Glass Bottles,915,786,596,190,129,393.0,117.9,50.8503,4.3517
2024-09-15,BR001,Brussels Brewery,Brewery,Aluminum Cans,659,440,224,216,219,352.0,52.8,50.8503,4.3517
2024-09-15,BR001,Brussels Brewery,Brewery,Plastic Bottles,832,415,74,341,417,124.5,33.2,50.8503,4.3517
2024-09-15,BR001,Brussels Brewery,Brewery,Cardboard Cartons,304,156,59,97,148,31.2,7.8,50.8503,4.3517
2024-09-15,BR001,Brussels Brewery,Brewery,Wooden Crates,623,610,526,84,13,61.0,152.5,50.8503,4.3517
2024-09-15,BR002,Leuven Brewery,Brewery,Glass Bottles,619,525,320,205,94,262.5,78.75,50.8798,4.7005
2024-09-15,BR002,Leuven Brewery,Brewery,Aluminum Cans,832,630,146,484,202,504.0,75.6,50.8798,4.7005
2024-09-15,BR002,Leuven Brewery,Brewery,Plastic Bottles,705,491,140,351,214,147.3,39.28,50.8798,4.7005
2024-09-15,BR002,Leuven Brewery,Brewery,Cardboard Cartons,765,242,64,178,523,48.4,12.1,50.8798,4.7005
2024-09-15,BR002,Leuven Brewery,Brewery,Wooden Crates,490,480,356,124,10,48.0,120.0,50.8798,4.7005
2024-09-15,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,1445,1109,803,306,336,554.5,166.35,51.2194,4.4025
2024-09-15,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,1032,799,199,600,233,639.2,95.88,51.2194,4.4025
2024-09-15,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,1336,738,238,500,598,221.4,59.04,51.2194,4.4025
2024-09-15,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,1417,361,57,304,1056,72.2,18.05,51.2194,4.4025
2024-09-15,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,494,433,337,96,61,43.3,108.25,51.2194,4.4025
2024-09-15,DC002,Ghent Distribution,Distribution Center,Glass Bottles,1157,1019,863,156,138,509.5,152.85,51.05,3.7303
2024-09-15,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,1198,1001,284,717,197,800.8,120.12,51.05,3.7303
2024-09-15,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,597,357,71,286,240,107.1,28.56,51.05,3.7303
2024-09-15,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,1159,461,124,337,698,92.2,23.05,51.05,3.7303
2024-09-15,DC002,Ghent Distribution,Distribution Center,Wooden Crates,1360,1332,955,377,28,133.2,333.0,51.05,3.7303
2024-09-16,BR001,Brussels Brewery,Brewery,Glass Bottles,1288,1161,990,171,127,580.5,174.15,50.8503,4.3517
2024-09-16,BR001,Brussels Brewery,Brewery,Aluminum Cans,842,622,211,411,220,497.6,74.64,50.8503,4.3517
2024-09-16,BR001,Brussels Brewery,Brewery,Plastic Bottles,1459,976,253,723,483,292.8,78.08,50.8503,4.3517
2024-09-16,BR001,Brussels Brewery,Brewery,Cardboard Cartons,963,406,122,284,557,81.2,20.3,50.8503,4.3517
2024-09-16,BR001,Brussels Brewery,Brewery,Wooden Crates,586,562,406,156,24,56.2,140.5,50.8503,4.3517
2024-09-16,BR002,Leuven Brewery,Brewery,Glass Bottles,886,755,566,189,131,377.5,113.25,50.8798,4.7005
2024-09-16,BR002,Leuven Brewery,Brewery,Aluminum Cans,1119,1001,396,605,118,800.8,120.12,50.8798,4.7005
2024-09-16,BR002,Leuven Brewery,Brewery,Plastic Bottles,662,539,120,419,123,161.7,43.12,50.8798,4.7005
2024-09-16,BR002,Leuven Brewery,Brewery,Cardboard Cartons,1151,560,178,382,591,112.0,28.0,50.8798,4.7005
2024-09-16,BR002,Leuven Brewery,Brewery,Wooden Crates,407,398,286,112,9,39.8,99.5,50.8798,4.7005
2024-09-16,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,2378,1821,1165,656,557,910.5,273.15,51.2194,4.4025
2024-09-16,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,1996,1073,265,808,923,858.4,128.76,51.2194,4.4025
2024-09-16,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,2249,1178,371,807,1071,353.4,94.24,51.2194,4.4025
2024-09-16,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,1992,864,421,443,1128,172.8,43.2,51.2194,4.4025
2024-09-16,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,1239,1214,901,313,25,121.4,303.5,51.2194,4.4025
2024-09-16,DC002,Ghent Distribution,Distribution Center,Glass Bottles,2408,1830,1371,459,578,915.0,274.5,51.05,3.7303
2024-09-16,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,1631,1007,486,521,624,805.6,120.84,51.05,3.7303
2024-09-16,DC002,Ghent Distribution,Distribution Center,Plastic Bottles,2062,1480,374,1106,582,444.0,118.4,51.05,3.7303
2024-09-16,DC002,Ghent Distribution,Distribution Center,Cardboard Cartons,1099,251,109,142,848,50.2,12.55,51.05,3.7303
2024-09-16,DC002,Ghent Distribution,Distribution Center,Wooden Crates,1642,1541,1386,155,101,154.1,385.25,51.05,3.7303
2024-09-17,BR001,Brussels Brewery,Brewery,Glass Bottles,577,398,254,144,179,199.0,59.7,50.8503,4.3517
2024-09-17,BR001,Brussels Brewery,Brewery,Aluminum Cans,1432,1074,327,747,358,859.2,128.88,50.8503,4.3517
2024-09-17,BR001,Brussels Brewery,Brewery,Plastic Bottles,894,496,179,317,398,148.8,39.68,50.8503,4.3517
2024-09-17,BR001,Brussels Brewery,Brewery,Cardboard Cartons,1455,426,121,305,1029,85.2,21.3,50.8503,4.3517
2024-09-17,BR001,Brussels Brewery,Brewery,Wooden Crates,1238,1190,1013,177,48,119.0,297.5,50.8503,4.3517
2024-09-17,BR002,Leuven Brewery,Brewery,Glass Bottles,1405,1294,760,534,111,647.0,194.1,50.8798,4.7005
2024-09-17,BR002,Leuven Brewery,Brewery,Aluminum Cans,729,434,185,249,295,347.2,52.08,50.8798,4.7005
2024-09-17,BR002,Leuven Brewery,Brewery,Plastic Bottles,654,414,93,321,240,124.2,33.12,50.8798,4.7005
2024-09-17,BR002,Leuven Brewery,Brewery,Cardboard Cartons,1018,565,176,389,453,113.0,28.25,50.8798,4.7005
2024-09-17,BR002,Leuven Brewery,Brewery,Wooden Crates,667,653,526,127,14,65.3,163.25,50.8798,4.7005
2024-09-17,DC001,Antwerp Distribution,Distribution Center,Glass Bottles,1693,1659,1452,207,34,829.5,248.85,51.2194,4.4025
2024-09-17,DC001,Antwerp Distribution,Distribution Center,Aluminum Cans,2375,1722,683,1039,653,1377.6,206.64,51.2194,4.4025
2024-09-17,DC001,Antwerp Distribution,Distribution Center,Plastic Bottles,2087,1386,605,781,701,415.8,110.88,51.2194,4.4025
2024-09-17,DC001,Antwerp Distribution,Distribution Center,Cardboard Cartons,2325,705,259,446,1620,141.0,35.25,51.2194,4.4025
2024-09-17,DC001,Antwerp Distribution,Distribution Center,Wooden Crates,1678,1644,1026,618,34,164.4,411.0,51.2194,4.4025
2024-09-17,DC002,Ghent Distribution,Distribution Center,Glass Bottles,2318,1696,841,855,622,848.0,254.4,51.05,3.7303
2024-09-17,DC002,Ghent Distribution,Distribution Center,Aluminum Cans,805,582,216,366,223,465.6,69.84,51.05,3.7303
